postcodes_id,zone_id,postcode_range_start,postcode_range_end,postcode_name,status
1,1,SE1,SE1,SE1,1
2,1,EC3M,EC3M,EC3M,1
3,1,EC3N,EC3N,EC3N,1
4,1,EC3R,EC3R,EC3R,1
5,1,CM14,CM14,CM14,1
6,1,RM3,RM3,RM3,1
7,1,RM6,RM6,RM6,1
8,1,CM13,CM13,CM13,1
9,1,CM12,CM12,CM12,1
10,1,CM4,CM4,CM4,1
11,1,RM7,RM7,RM7,1
12,1,IG2,IG2,IG2,1
13,2,SE16,SE16,SE16,1
14,2,SE17,SE17,SE17,1
15,3,EC1W,EC1W,EC1W,1
16,3,N1C,N1C,N1C,1
17,3,FW1,FW1,FW1,1
18,4,E1,E1,E1,1
19,4,E2,E2,E2,1
20,4,W1,W1,W1,1
21,4,WC1,WC1,WC1,1
22,4,WC2,WC2,WC2,1
23,4,EC1,EC1,EC1,1
24,4,EC2,EC2,EC2,1
25,4,EC3,EC3,EC3,1
26,4,EC4,EC4,EC4,1
27,4,SW1A,SW1A,SW1A,1
28,4,SW1E,SW1E,SW1E,1
29,4,SW1H,SW1H,SW1H,1
30,4,SW1P,SW1P,SW1P,1
31,4,SW1V,SW1V,SW1V,1
32,4,SW1W,SW1W,SW1W,1
33,4,SW1X,SW1X,SW1X,1
34,4,SW1Y,SW1Y,SW1Y,1
35,4,W1B,W1B,W1B,1
36,4,W1C,W1C,W1C,1
37,4,W1D,W1D,W1D,1
38,4,W1F,W1F,W1F,1
39,4,W1G,W1G,W1G,1
40,4,W1H,W1H,W1H,1
41,4,W1J,W1J,W1J,1
42,4,W1K,W1K,W1K,1
43,4,W1S,W1S,W1S,1
44,4,W1T,W1T,W1T,1
45,4,W1U,W1U,W1U,1
46,4,W1W,W1W,W1W,1
47,4,WC1A,WC1A,WC1A,1
48,4,WC1B,WC1B,WC1B,1
49,4,WC1E,WC1E,WC1E,1
50,4,WC1H,WC1H,WC1H,1
51,4,WC1N,WC1N,WC1N,1
52,4,WC1R,WC1R,WC1R,1
53,4,WC1V,WC1V,WC1V,1
54,4,WC1X,WC1X,WC1X,1
