zones_id,zone_name,price_default,zone_times,status,zone_delivery_days
1,Zone_1,0,[],1,0
2,Zone_2,0,[],1,"0,2,4,6"
3,Zone_3,0,[],1,"0,5,6"
4,Zone_4,0,[],1,"0,6"
5,Zone_5,0,[],1,"0,6"
6,Zone_6,0,[],1,"0,2,4,5,6"
7,Zone_7,0,[],1,"0,5,6"
8,Zone_8,7.5,[],1,"0,6"
9,Zone_9,7.5,[],1,"0,2,4,6"
10,Zone_10,7.5,[],1,"0,6"
11,Zone_11,0,[],1,"0,5,6"
12,Zone_12,0,[],1,"0,6"
13,Zone_13,0,[],1,"0,6"
14,Zone_14,0,[],1,"0,6"
15,Zone_15,0,[],1,"0,6"
16,Zone_16,0,[],1,"0,6"
17,Zone_17,0,[],1,"0,6"
18,Zone_18,0,[],1,"0,6"
19,Zone_19,0,[],1,"0,6"
20,Zone_20,0,[],1,"0,6"
21,Zone_21,0,[],1,"0,6"
22,Zone_22,0,[],1,"0,6"
23,Zone_23,0,[],1,"0,6"
24,Zone_24,0,[],1,"0,6"
25,Zone_25,0,[],1,"0,6"
26,Zone_26,0,[],1,"0,6"
27,Zone_27,0,[],1,"0,6"
28,Zone_28,0,[],1,"0,6"
29,Zone_29,0,[],1,"0,6"
30,Zone_30,0,[],1,"0,6"
31,Zone_31,0,[],1,"0,6"
32,Zone_32,0,[],1,"0,6"
33,Zone_33,0,[],1,"0,6"
34,Zone_34,0,[],1,"0,6"
35,Zone_35,0,[],1,"0,6"
36,Zone_36,0,[],1,"0,6"
37,Zone_37,0,[],1,"0,6"
38,Zone_38,0,[],1,"0,6"
39,Zone_39,0,[],1,"0,6"
40,Zone_40,0,[],1,"0,6"
41,Zone_41,0,[],1,"0,6"
42,Zone_42,0,[],1,"0,6"
43,Zone_43,0,[],1,"0,6"
44,Zone_44,0,[],1,"0,6"
45,Zone_45,0,[],1,"0,6"
46,Zone_46,0,[],1,"0,6"
47,Zone_47,0,[],1,"0,6"
48,Zone_48,0,[],1,"0,6"
49,Zone_49,0,[],1,"0,6"
50,Zone_50,0,[],1,"0,6"
51,Zone_51,0,[],1,"0,6"
52,Zone_52,0,[],1,"0,6"
53,Zone_53,0,[],1,"0,6"
54,Zone_54,0,[],1,"0,6"
55,Zone_55,0,[],1,"0,6"
56,Zone_56,0,[],1,"0,6"
57,Zone_57,0,[],1,"0,6"
58,Zone_58,0,[],1,"0,6"
59,Zone_59,0,[],1,"0,6"
60,Zone_60,0,[],1,"0,6"
61,Zone_61,0,[],1,"0,6"
62,Zone_62,0,[],1,"0,6"
63,Zone_63,0,[],1,"0,6"
64,Zone_64,0,[],1,"0,6"
65,Zone_65,0,[],1,0
66,Zone_66,0,[],1,0
67,Zone_67,0,[],1,0
68,Zone_68,0,[],1,"0,6"
69,Zone_69,0,[],1,"0,6"
70,Zone_70,0,[],1,"0,6"
71,Zone_71,0,[],1,"0,6"
72,Zone_72,0,[],1,"0,6"
73,Zone_73,0,[],1,"0,6"
74,Zone_74,0,[],1,"0,6"
75,Zone_75,7.5,[],1,"0,2,4,6"
76,Zone_76,0,[],1,"0,6"
77,Zone_77,0,[],1,"0,2,4,6"
78,Zone_78,7.5,[],1,"0,2,4,6"
79,Zone_79,7.5,[],1,"0,2,4,6"
80,Zone_80,7.5,[],1,"0,6"
81,Zone_81,7.5,[],1,"0,6"
82,Zone_82,0,[],1,0
83,Zone_83,0,[],1,0
84,Zone_84,0,[],1,0
85,Zone_85,0,[],1,"0,6"
86,Zone_86,0,[],1,"0,6"
87,Zone_87,0,[],1,0
88,Zone_88,0,[],1,0
89,Zone_89,0,[],1,0
90,Zone_90,0,[],1,0
91,Zone_91,0,[],1,0
92,Zone_92,0,[],1,0
93,Zone_93,0,[],1,"0,5"
94,Zone_94,7.5,[],1,"0,6"
95,Zone_95,7.5,[],1,"0,2,4,6"
96,Zone_96,0,[],1,"0,3"
97,Zone_97,0,[],1,"0,2,3,4,5,6"
98,Zone_98,0,[],1,"0,2,3,4,5,6"
99,Zone_99,0,[],1,"0,1,3,6"
100,Zone_100,0,[],1,"0,1,3"
101,Zone_101,0,[],1,"0,1,3,6"
102,Zone_102,0,[],1,"0,1,3,5,6"
103,Zone_103,7.5,[],1,"0,1,3,6"
104,Zone_104,7.5,[],1,"0,1,3,6"
105,Zone_105,7.5,[],1,"0,1,3,6"
106,Zone_106,7.5,[],1,"0,1,3,6"
107,Zone_107,7.5,[],1,"0,1,3,6"
108,Zone_108,7.5,[],1,"0,1,3,6"
109,Zone_109,7.5,[],1,"0,1,3,6"
110,Zone_110,0,[],1,"0,1,3,6"
111,Zone_111,0,[],1,"0,1,3,6"
112,Zone_112,0,[],1,"0,1,3,6"
113,Zone_113,0,[],1,"0,1,3,6"
114,Zone_114,0,[],1,"0,1,2,3,4,6"
115,Zone_115,0,[],1,"0,1,2,3,4,6"
116,Zone_116,0,[],1,"0,1,2,3,4,6"
117,Zone_117,0,[],1,"0,1,2,3,4,6"
118,Zone_118,0,[],1,"0,1,2,3,4,6"
119,Zone_119,0,[],1,"0,1,2,3,4,6"
120,Zone_120,0,[],1,"0,1,2,3,4,6"
121,Zone_121,0,[],1,"0,1,2,3,4,6"
122,Zone_122,0,[],1,"0,1,2,3,4,6"
123,Zone_123,0,[],1,"0,1,2,3,4,6"
124,Zone_124,0,[],1,"0,1,2,3,4,6"
125,Zone_125,7.5,[],1,"0,1,2,3,4,6"
126,Zone_126,0,[],1,"0,1,2,3,4,6"
127,Zone_127,0,[],1,"0,1,2,3,4,6"
128,Zone_128,0,[],1,"0,1,2,3,4,6"
129,Zone_129,0,[],1,"0,1,2,3,4"
130,Zone_130,0,[],1,"0,1,2,3,4"
131,Zone_131,0,[],1,"0,1,2,3,4,6"
132,Zone_132,0,[],1,"0,1,2,3,4,6"
133,Zone_133,7.5,[],1,"0,1,2,3,4,6"
134,Zone_134,7.5,[],1,"0,1,2,3,4,6"
135,Zone_135,7.5,[],1,"0,1,2,3,4,6"
136,Zone_136,7.5,[],1,"0,1,2,3,4,6"
137,Zone_137,7.5,[],1,"0,1,2,3,4,6"
138,Zone_138,7.5,[],1,"0,1,2,3,4,6"
139,Zone_139,7.5,[],1,"0,1,2,3,4,6"
140,Zone_140,7.5,[],1,"0,1,2,3,4,6"
141,Zone_141,7.5,[],1,"0,1,2,3,4,6"
142,Zone_142,7.5,[],1,"0,1,2,3,4,6"
143,Zone_143,7.5,[],1,"0,1,2,3,4,6"
144,Zone_144,7.5,[],1,"0,1,2,3,4,6"
145,Zone_145,0,[],1,"0,1,2,3,4,6"
146,Zone_146,0,[],1,"0,1,2,3,4,6"
